CODIGO;DESCRIPCION;EXISTENCIA;PRECIO;EMPRESA
BOM-3156R;BOMBILLA 1 CONTACTO ROJO VIDRIOY PLASTICO;40.00 ;6.0000 ;SURJA
BOM-3156Z;BOMBILLA 1 CONTACTO AZUL VIDRIO Y PLASTICO;40.00 ;6.0000 ;SURJA
BOM-3157;BOMBILLA DOS CONTACTOS CLARA VIDRIO Y PLASTICO;0.00 ;6.0000 ;SURJA
BOM-3157A;BOMBILLA 2 CONTACTOS AMARILLA VIDRIO Y PLASTICO;0.00 ;6.0000 ;SURJA
BOM-35/35CABE;BOMBILLA DE MOTO CABEZONA 35/35 ECONOMICA;0.00 ;5.0000 ;SURJA
BOM-35/35-CAB-LEZ-SW;BOMBILLA PARA MOTO CABEZONA 35/35 LEZZEN SW;0.00 ;10.0000 ;SURJA
BOM-53;BOMBILLA LAMP. 53 12V 3W;0.00 ;0.9000 ;SURJA
BOM-53BAL;BOMBILLA 53 TIPO BALA;0.00 ;0.9000 ;SURJA
BOM-53LB;BOMBILLA 53 LED COLOR BLANCA;0.00 ;6.0000 ;SURJA
BOM-53LR;BOMBILLA 53 LED COLOR ROJO;0.00 ;6.0000 ;SURJA
BOM-53LV;BOMBILLA 53 LED COLOR VERDE;0.00 ;6.0000 ;SURJA
BOM-53LZ;BOMBILLA 53 LED COLOR AZUL;0.00 ;6.0000 ;SURJA
BOM-57;BOMBILLA LAMP 57 12V 3W;0.00 ;0.8000 ;SURJA
BOM-67-12;BOMBILLA 1 CONTACTO MEDIANA 67 12V;670.00 ;0.9000 ;SURJA
BOM-67-2C;BOMBILLA 67 DE 2 CONTACTOS CLARA;0.00 ;1.5000 ;SURJA
BOM-67-6V;BOMBILLA 1 CONTACTO MEDIANA PIDE VIAS  67 12V;0.00 ;1.1000 ;SURJA
BOM-67LED;BOMBILLA 1 CONTACTO 67 12V LED;0.00 ;25.0000 ;SURJA
BOM-AC/CEN-CGL;BOMBA DE ACEITE CENTRIFUGA CGL;0.00 ;25.0000 ;SURJA
BOM-AC-GY6;BOMBA DE ACEITE PARA GY6 125;0.00 ;43.0000 ;SURJA
BOM-AXSTOP;BOMBILLA DE AX100 STOP 6V 5W;0.00 ;2.3000 ;SURJA
BOM-BA20D 35/35;BOMBILLA MOTO/TAXI 12V 35/35W MILLER;0.00 ;12.0000 ;SURJA
BOM-BA20D 35/35SW;BOMBILLA MOTO TAXI 3535 HALOGENA MILLER SUPER WHITE;0.00 ;13.0000 ;SURJA
BOM-BA20D-50/50;BOMBILLA PARA MOTO 50/50W CLARA;0.00 ;12.0000 ;SURJA
BOM-BA20D-50/50SW;BOMBILLA PARA MOTO 50/50W SUPER WHITE;0.00 ;13.0000 ;SURJA
BOM-CABAJ;BOMBILLA CABEZONA 35/35 BAJAJ GENUINA;0.00 ;6.0000 ;SURJA
BOM-CHIP-A;BOMBILLA 158 ESTILO CHIP COLOR AMARILLO;0.00 ;25.0000 ;SURJA
BOM-CHIP-B;BOMBILLA 158 ESTILO CHIP COLOR BLANCO;0.00 ;25.0000 ;SURJA
BOM-CHIP-CONT;BOMBILLA LED TIPO CHIP MULTI COLOR CON CONTROL;89.00 ;50.0000 ;SURJA
BOM-CHIP-M;BOMBILLA 158 ESTILO CHIP COLOR MORADO;0.00 ;25.0000 ;SURJA
BOM-CHIP-V;BOMBILLA 158 ESTILO CHIP COLOR VERDE;0.00 ;25.0000 ;SURJA
BOM-CHIP-Z;BOMBILLA 158 ESTILO CHIP COLOR AZUL;0.00 ;25.0000 ;SURJA
BOM-CHIP-ZI;BOMBILLA 158 ESTILO CHIP COLOR AZUL ICE;0.00 ;25.0000 ;SURJA
BOMF-AN;BOMBA DE FRENO MOTO AN;0.00 ;79.0000 ;SURJA
BOMF-C110;BOMBA DE FRENO C-110;0.00 ;81.0000 ;SURJA
BOMF-DAKP;BOMBA FRENO DE PIE CORTO TRASERA MOTO DAKAR;0.00 ;99.0000 ;SURJA
BOMF-DKR200;BOMBA FRENO DE DAKAR(DE MANO);0.00 ;70.0000 ;SURJA
BOMF-ELITE;BOMBA DE FRENO DE ELITE CS125 MANECILLA CROMADA;0.00 ;70.0000 ;SURJA
BOMF-GIX;BOMBA DE FRENO GIXXER 150;0.00 ;110.0000 ;SURJA
BOMF-GN125;BOMBA DE FRENO COMPLETA SUZUKI GN-125H,EN-125-2A,GN-125F UNIVERSAL;0.00 ;65.0000 ;SURJA
BOMF-NS200T;BOMBA FRENO PULSAR NS200 TRASERA;0.00 ;115.0000 ;SURJA
BOMF-PUL180;BOMBA DE FRENO COMPLETA PULSAR150,180,200RS DISCOVERY 150,HAOJUE150;0.00 ;125.0000 ;SURJA
BOMF-TRIP;BOMBA DE FRENO PARA TRIP 110;0.00 ;93.0000 ;SURJA
BOMF-V-MEN;BOMBA DE FRENO V-MEN;0.00 ;80.0000 ;SURJA
BOMGAS-VIVIO;BOMBA DE GASOLINA KIMCO VIVIO;0.00 ;70.0000 ;SURJA
BOM-H4LTUB;BOMBILLAS TUBULAR H4 LED;0.00 ;68.0000 ;SURJA
BOM-H6LBAS;BOMBILLA H6 LED BASE;0.00 ;68.0000 ;SURJA
BOM-H6LTUB;BOMBILLA H6 LED TUBULAR;0.00 ;68.0000 ;SURJA
BOM-LEDTH6;BOMBILLA DEL H6 TUBULAR;0.00 ;40.0000 ;SURJA
BOM-LTUB-B;BOMBILLA 158 LED TUBULAR BLANCA;0.00 ;15.0000 ;SURJA
BOM-LTUB-R;BOMBILLA 158 LED TUBULAR ROJA;0.00 ;15.0000 ;SURJA
BOM-LTUB-V;BOMBILLA 158 LED TUBULAR VERDE;0.00 ;12.0000 ;SURJA
BOM-LTUB-Z;BOMBILLA 158 LED TUBULAR AZUL;0.00 ;15.0000 ;SURJA
BOM-PL;BOMBILLA LED PARA PORTAPLACA;0.00 ;35.0000 ;SURJA
BOM-T15;BOMBILLA COLA DE PESCADO GRANDE T15;0.00 ;0.7500 ;SURJA
BOM-T20-1;BOMBILLA-T20-1 CONTACTOS;60.00 ;6.0000 ;SURJA
BOM-T20-1A;BOMBILLA-T20-1 CONTACTOS AMARILLA;0.00 ;5.0000 ;SURJA
BOM-T20-2;BOMBILLA-T20-2 CONTACTOS;0.00 ;6.0000 ;SURJA
BOM-T20-2A;BOMBILLA-T20-2 CONTACTOS AMARILLA;-10.00;5.0000 ;SURJA
BOM-T5(ARROZ);BOMBILLA MINI TABLERO T5 CLARA (ARROZ);0.00 ;0.5000 ;SURJA
BOT-ARQ-AN;BOTON DE ARRANQUE DE AN;0.00 ;17.0000 ;SURJA
BOT-BOC-PAS;BOTON DE BOCINA  PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-CAMB3ES-PAS;BOTON DE CAMBIO DE LUCES 3 ESPIGAS PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-CAMB4ES-PAS;BOTON DE CAMBIO DE LUCES 4 ESPIGAS PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-CAMB-AN;BOTON DE CAMBIO DE LUCES PARA AN;0.00 ;13.0000 ;SURJA
BOT-CAMB-TRIP;BOTON DE CAMBIO DE LUCES TRIP;0.00 ;6.0000 ;SURJA
BOT-EN/LUZ-PAS;BOTON DE ENCENDIDO DE LUCES  PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-EN/LUZ-TRIP;BOTON DE ENCENDIDO DE LUCES TRIP;0.00 ;12.0000 ;SURJA
BOT-PID-PAS;BOTON DE PIDEVIAS PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-PID-TRIP;BOTON DE PIDEVIAS TRIP;0.00 ;6.0000 ;SURJA
BOT-STAR-AN;BOTON DE ARRANQUE DE AN;0.00 ;15.0000 ;SURJA
BOT-STAR-PAS;BOTON DE STARTER PARA PASOLA;0.00 ;5.0000 ;SURJA
BOT-STAR-TRIP;BOTON DE STARTER TRIP;0.00 ;6.0000 ;SURJA
BP01-13-221;MANGUERA PASO DE AIRE MAZDA PROTEGE,323 MOTOR 1.8;0.00 ;160.0000 ;SURJA
BP4K-28-170C;CABEZAL ESTABILIZADOR MAZDA 3 TRASERO 03-11 GMB;0.00 ;110.0000 ;SURJA
BP4K-28-170DN;CABEZAL ESTABILIZADOR MAZDA 3 03-11 TRAS. R/L BP4K-28-170D;44.00 ;60.0000 ;SURJA
BP4K-34-170C;CABEZAL ESTABILIZADOR MAZDA 3 DELANTERO 03 GMB;0.00 ;83.0000 ;SURJA
BP4K-34-170DN;CABEZAL ESTABILIZADOR MAZDA 3 DELANTERO 03 DEL R/L SL-1650;28.00 ;68.0000 ;SURJA
BP4K-34-380;BASE DE AMORTIGUADOR MAZDA 3  04-11;0.00 ;105.0000 ;SURJA
BP4K-41-400;BOMBA CENTRAL DE CLUTCH MAZDA 3 04-13 MAZDA 6 06-10;0.00 ;294.0000 ;SURJA
BP4S-41-920A Y;BOMBA AUXIL. CLUTCH 13/16 CLUTCH.MAZDA 3 5 04-13 YUHOLI;0.00 ;181.0000 ;SURJA
BR70-41-990;BOMBA CENTRAL DE CLUCH 5/8 MAZDA 323 PROTEGE 90-;0.00 ;144.0000 ;SURJA
BRAZ-22R;BRAZO PARABRISAS ATORNILLADO TOYOTA RN55 PAR;0.00 ;98.0000 ;SURJA
BRAZ-CLUT-CG;BRAZO DE CLUTCH CG;0.00 ;11.0000 ;SURJA
BRAZ-F-AX100;BRAZO DE FRENO PARA MOTO AX100 (10PCS);0.00 ;107.0000 ;SURJA
BRAZ-F-CD110;BRAZO DE FRENO PARA MOTO CD110 (4PCS);0.00 ;45.0000 ;SURJA
BRAZ-F-GN;BRAZO DE FRENO PARA MOTO GN (5PCS);0.00 ;55.0000 ;SURJA
BRAZ-HI-LUX;BRAZO PARABRISAS HI-LUX RN 45 ATORNILLADO;0.00 ;95.0000 ;SURJA
BRAZ-RN30;BRAZO PARABRISAS TOY RN30;0.00 ;81.0000 ;SURJA
bt-110/2129;Nissan Frontier, Pahfinder, Pick up, Stanza (86-01);0.00 ;0.0000 ;SURJA
bt-64/2103;Toyota 4Runner 4WD 86-95,Pick up 4WD 86-95_Pickup T100 4WD 96-04;0.00 ;28.0000 ;SURJA
bt-76/2205;Toyota Corolla 93-02_Montero 92-96;0.00 ;28.0000 ;SURJA
bt-92/1197;Toyota Tercel 87-90_ Toyota Rav4 96-05 4WD REAR;0.00 ;28.0000 ;SURJA
BUJ-A7TC;BUJIA PARA PASOLA GY6,YBR.SEMIAUTOMATICA;0.00 ;8.0000 ;SURJA
BUJ-BP7HSA;BUJIA BP7HSA MOTO AX-100 PASOLA, YBR SEMIAUTOMATICA;0.00 ;13.0000 ;SURJA
BUJ-C7HSA;BUJIA C7HSA NG SEMI,YBR,GY6;0.00 ;11.5000 ;SURJA
BUJ-CR6E;BUJIA PARA C/C GN, EN,AN,PULSAR  NG;0.00 ;11.5000 ;SURJA
BUJ-CR8E;BUJIAS CR8E GN,EN,AN,PULSAR NG;0.00 ;11.5000 ;SURJA
BUJ-D7EA;BUJIA D7EA  C/F CGL,FIRE,ITALIKAS CAMBIOS,CHINAS CAMBIOS;0.00 ;11.5000 ;SURJA
BUJ-D8EA;BUJIA D8EA  CGL,FIRE,ITALIKAS CAMBIOS,CHINAS CAMBIOS;0.00 ;11.5000 ;SURJA
BUJ-D8TC;BUJIA D8TC PARA MOTO CGL,FIRE,ITALIKAS CAMBIOS,CHINAS CAMBIOS;0.00 ;7.5000 ;SURJA
BUL-F/D-CG;BULBO DE FRENO DELANTERO CG-125 CEBOLLITA;0.00 ;6.0000 ;SURJA
BUL-F/T-CG;BULBO DE FRENO TRASERO CG-125,UNIV.;0.00 ;5.0000 ;SURJA
BUL-F/T-GN;BULBO DE FRENO TRASERO GN-125,GTK,FREEDOM FIRE;0.00 ;9.0000 ;SURJA
BULF-AN125;BULBO DE FRENO AN;0.00 ;16.0000 ;SURJA
BUL-F-D;BULBO DE FRENO CUADRADO DERECHO;0.00 ;4.0000 ;SURJA
BUL-F-IZQ;BULBO DE FRENO IZQUIERDO;0.00 ;5.0000 ;SURJA
BUL-VELCGL125;BULBO DE VELOCIDAD CGL;0.00 ;25.0000 ;SURJA
BUL-VELGN125;BULBO DE VELOCIDAD GN, EN;0.00 ;35.0000 ;SURJA
BUSH-GN125;BUSHIN DE MULETA PARA GN 125;0.00 ;27.5000 ;SURJA
BUSHM-CGL125;BUSHIN DE MULETA CGL125;0.00 ;15.0000 ;SURJA
BUSHM-PUL180;BUSHING DE MULETA PULSAR 180;0.00 ;30.0000 ;SURJA
BUSHM-YBR125;BUSHING DE MULETA YBR 125;0.00 ;30.0000 ;SURJA
CAB-10NC;CABLE ELECTRICO COBRE 100%  100PIES #10NEGRO;0.00 ;190.0000 ;SURJA
CAB-10RC;CABLE ELECTRICO COBRE 100%  100PIES #1O ROJO;0.00 ;190.0000 ;SURJA
CAB-12N;CABLE No. 12 NEGRO ROLLO DE 100 PIES;0.00 ;68.9200 ;SURJA
CAB-12NC;CABLE ELECTRICO COBRE 100%  100PIES  #12 NEGRO;0.00 ;213.0000 ;SURJA
CAB-12RC;CABLE ELECTRICO COBRE 100%  100PIES  #12 ROJO;4.00 ;213.0000 ;SURJA
CAB-14NC;CABLE ELECTRICO COBRE 100%  100PIES #14NEGRO;0.00 ;145.0000 ;SURJA
CAB-14R;CABLE No. 14 ROJO ROLLO DE 100 PIES;0.00 ;47.0000 ;SURJA
CAB-14RC;CABLE ELECTTRICO COBRE 100% 100PIES #14ROJO;0.00 ;145.0000 ;SURJA
CAB-16N;CABLE No. 16 NEGRO ROLLO DE 100 PIES;0.00 ;30.0000 ;SURJA
CAB-16NC;CABLE ELECTRICO COBRE 100% 100PIES #16 NEGRO;1.00 ;92.0000 ;SURJA
CAB-16R;CABLE No. 16 ROJO ROLLO DE 100 PIES;0.00 ;30.0000 ;SURJA
CAB-16RC;CABLE ELECTRICO COBRE100% 100PIES #16 ROJO;1.00 ;92.0000 ;SURJA
CAB-18NC;CABLE No. 18 NEGRO ROLLO DE 100 PIES;4.00 ;71.0000 ;SURJA
CAB-18RC;CABLE No. 18 ROJO ROLLO DE 100 PIES;4.00 ;71.0000 ;SURJA
CAB-23012;CABLE CANDELA TOY COROLLA HIB.;0.00 ;95.0000 ;SURJA
CAB-23023B;CABLE CANDELA TOY PICK-UP 22R 5MM 93- BYB;0.00 ;204.0000 ;SURJA
CAB-23023HI;CABLE CANDELA TOY 5MM 22R HIB.;0.00 ;77.0000 ;SURJA
CAB-23036;CABLE CANDELA TOY TACOMA HIB.;0.00 ;89.0000 ;SURJA
CAB-28103E;CABLE CANDELA TOY PICK-UP 72-92 8MM 28103;0.00 ;65.0000 ;SURJA
CAB-4RC;CABLE ELECTRICO COBRE 100% 50PIES #4 ROJO;0.00 ;380.0000 ;SURJA
CAB-8NC;CABLE ELECTRICO COBRE 100%  100PIES #8NEGRO;0.00 ;278.0000 ;SURJA
CAB-8RC;CABLE ELECTRICO COBRE 100%  100PIES #8 ROJO;0.00 ;278.0000 ;SURJA
CAB9330064;CABLE DE CLUTCH S/FORRO TRENSADO;0.00 ;2.7000 ;SURJA
CAB9330076;CABLE DE VELOCIDAD S/FORRO TRENSADO;0.00 ;2.7000 ;SURJA
CABASP-AN;CABLE DE ASPIROMETRO DE AN;0.00 ;15.0000 ;SURJA
CABASP-AX100;CABLE DE ASPIROMETRO DE AX100;0.00 ;13.0000 ;SURJA
CABASP-CGL;CABLE DE ASPIROMETRO DE CGL;0.00 ;12.0000 ;SURJA
CABASP-CS125;CABLE DE ASPIROMETRO CS125;0.00 ;15.0000 ;SURJA
CABASP-CT100;CABLE DE ASPIROMETRO DE CT100;0.00 ;10.0000 ;SURJA
CABASP-GN125;CABLE DE ASPIROMETRO DE GN;0.00 ;15.0000 ;SURJA
CABASP-GY6;CABLE DE ASPIROMETRO GY6 PUNTAS IGUALES;0.00 ;18.0000 ;SURJA
CABASP-GY6125;CABLE DE ASPIROMETRO HONDA ELITE GY6 125;0.00 ;21.0000 ;SURJA
CABASP-GY6150;CABLE DE ASPIROMETRO T15 VX150 GY6150;0.00 ;20.0000 ;SURJA
CABASP-NAVI;CABLE DE ASPIROMETRO DE NAVI;0.00 ;16.0000 ;SURJA
CABASP-PLATINA;CABLE DE ASPIROMETRO DE PLATINA;0.00 ;10.0000 ;SURJA
CABASP-SJ110;CABLE DE ASPIROMETRO DE SJ110;0.00 ;10.0000 ;SURJA
CABASP-STUN;CABLE DE ASPIROMETRO STUNNER;0.00 ;15.0000 ;SURJA
CABASP-XR150L;CABLE DE ASPIROMETRO XR150L;0.00 ;18.0000 ;SURJA
CABASP-XTZ125;CABLE DE ASPIROMETRO DE XTZ125;0.00 ;17.5000 ;SURJA
CABASP-YBR;CABLE DE ASPIROMETRO DE YBR;0.00 ;10.0000 ;SURJA
CABBA191011;CABLE DE VELOCIDAD CABEZA PEQ. S/FORRO LISO;0.00 ;3.8000 ;SURJA
CAB-BATC-N;CABLE PARA BATERIA 100% COBRE COLOR NEGRO;0.00 ;25.0000 ;SURJA
CAB-BATC-N24V;CABLE PARA BATERIA COLOR NEGRO 24VOLTIOS;0.00 ;40.0000 ;SURJA
CAB-BATC-R;CABLE PARA BATERIA 100% COBRE COLOR ROJO;0.00 ;18.0000 ;SURJA
CAB-BOBM;CABLE DE BOBINA;0.00 ;2.0000 ;SURJA
CAB-BOC;CABLE PARA BOCINA;0.00 ;140.0000 ;SURJA
CAB-CAD;CABLE DE CANDELA (BOBINA DE ALTA ) POR PIE;0.00 ;2.5000 ;SURJA
CABCL-AX100;CABLE DE CLUTCH AX100;0.00 ;13.0000 ;SURJA
CABCL-CB160F-HIB;CABLE DE CLUTCH HON. CB160F HIB;0.00 ;18.0000 ;SURJA
CABCL-CBF125-HIB;CABLE DE CLUTCH 125 HIB;0.00 ;17.0000 ;SURJA
CABCL-CGL125;CABLE DE CLUTCH CGL125;0.00 ;13.0000 ;SURJA
CABCL-DIS135;CABLE DE CLUTCH DISCOVERI135 PULSAR180 CORRIDA 47.30MM;0.00 ;13.0000 ;SURJA
CABCL-DISC125;CABLE DE CLUTCH DISCOVER 125,150;0.00 ;17.0000 ;SURJA
CABCL-DISC135-HIB;CABLE DE CLUTCH DISCIVERI 135 125 HIB;0.00 ;15.0000 ;SURJA
CABCL-EN125;CABLE DE CLUTCH EN125,GN125F;0.00 ;15.0000 ;SURJA
CABCL-FT150;CABLE DE CLUTCH FT150;0.00 ;13.0000 ;SURJA
CABCL-GIX;CABLE DE CLUTCH GIXXER;0.00 ;17.0000 ;SURJA
CABCL-GN125;CABLE DE CLUTCH PARA GN125;0.00 ;13.0000 ;SURJA
CABCL-GNH-HIB;CABLE DE CLUTCH GNH HIB;0.00 ;17.0000 ;SURJA
CABCL-GTK;CABLE DE CLUTCH GTK;0.00 ;16.0000 ;SURJA
CABCL-GXT200;CABLE DE CLUTCH GX200;0.00 ;25.0000 ;SURJA
CABCL-HAO;CABLE DE CLUTCH HAOJUE HJ-150;0.00 ;25.0000 ;SURJA
CABCL-HAY;CABLE DE CLUTCH HAYATE;0.00 ;17.0000 ;SURJA
CABCL-INVIC-HIB;CABLE DE CLUTCH HON.  INVICTA CB150 HIB;0.00 ;12.0000 ;SURJA
CABCL-NS200;CABLE DE CLUTCH PULSAR NS200;0.00 ;19.0000 ;SURJA
CABCL-NXR125BROS;CABLE DE CLUTCH NXR125 BROS;0.00 ;14.0000 ;SURJA
CABCL-PUL135;CABLE DE CLUTCH PULSAR 135;0.00 ;17.0000 ;SURJA
CABCL-PUL180;CABLE DE CLUTCH PULSAC 180 DISCOVERI135 CORRIDA 44.25MM;0.00 ;14.0000 ;SURJA
CABCL-STORM125;CABLE DE CLUTCH STORM125;0.00 ;18.0000 ;SURJA
CABCL-STUN;CABLE DE CLUTCH STUNNER;0.00 ;15.0000 ;SURJA
CAB-CLUTCH;CABLE PARA CLUTCH SIN FORRO G:2MM*L:2M 10PCS;0.00 ;29.0000 ;SURJA
CABCL-V-MEN;CABLE DE CLUTCH V-MEN;0.00 ;16.0000 ;SURJA
CABCL-XR125-HIB;CABLE DE CLUTCH XR125L HIBA;0.00 ;19.0000 ;SURJA
CABCL-XR150L;CABLE DE CLUTCH XR150L,DAKAR;0.00 ;18.0000 ;SURJA
CABCL-XR250-HIB;CABLE DE CLUTCH HON. XR250 TORNADO HIB;0.00 ;18.0000 ;SURJA
CABCL-XTZ125;CABLE DE CLUTCH DE XTZ125;0.00 ;20.5000 ;SURJA
CABCL-YBR;CABLE DE CLUTCH YBR;0.00 ;20.0000 ;SURJA
CABCL-YBR125HIB;CABLE CLUTCH YAM. YBR 125  HIBA;0.00 ;18.0000 ;SURJA
CABF-AX100;CABLE DE FRENO AX100;0.00 ;13.0000 ;SURJA
CABF-CGL125;CABLE DE FRENO CGL125;0.00 ;13.0000 ;SURJA
CABF-DELAX100-HIB;CABLE DE FRENO DELANTERO AX100 HIB;0.00 ;13.0000 ;SURJA
CABF-DIS135;CABLE DE FRENO DISCOVERI 135;0.00 ;13.0000 ;SURJA
CABF-DISC135-HIB;CABLE DE FRENO DISCOVERI 135 HIB;0.00 ;15.0000 ;SURJA
CABFD-NAVI;CABLE DE FRENO DELANTERO NAVI;0.00 ;20.0000 ;SURJA
CABF-GY6125TRAS;CABLE DE FRENO TRASERO GY6 125;0.00 ;20.0000 ;SURJA
CABF-GY6150TRAS;CABLE DE FRENO TRASERO GY6 150;0.00 ;23.0000 ;SURJA
CABF-HAY;CABLE DE FRENO HAYATE;0.00 ;17.0000 ;SURJA
CABF-NXR125BROS;CABLE DE FRENO NXR125 BROS;0.00 ;13.0000 ;SURJA
CABF-NXR-HIB;CABLE FRENO HON. NXR BROSS HIBARI;0.00 ;18.0000 ;SURJA
CABF-TRASAN125;CABLE DE FRENO TRASERO AN 125;0.00 ;10.0000 ;SURJA
CABFTR-NAVI;CABLE DE FRENO TRASERO  NAVI;0.00 ;16.0000 ;SURJA
CABGAS1-CRF230;CABLE GASOLINA N0.1 CRF230;0.00 ;17.5000 ;SURJA
CABGAS2-CRF230;CABLE GASOLINA N0.2 CRF230 RETORNO;0.00 ;17.5000 ;SURJA
CABGAS-AN;CABLE DE GASOLINA AN-125;0.00 ;22.0000 ;SURJA
CABGAS-AX100;CABLE DE GASOLINA AX100;0.00 ;13.0000 ;SURJA
CABGAS-AX100-HIB;CABLE DE GAS AX100 HIB;0.00 ;15.0000 ;SURJA
CABGAS-CBF125-HIB;CABLE DE GAS HON. CBF125 HIB;0.00 ;15.0000 ;SURJA
CABGAS-CGL125;CABLE DE GASOLINA CGL125;0.00 ;15.0000 ;SURJA
CABGAS-CGL-HIB;CABLE DE GAS CGL125 HIB;0.00 ;13.0000 ;SURJA
CABGAS-DIS125;CABLE DE GASOLINA DISCOVER 125,150;0.00 ;16.0000 ;SURJA
CABGAS-DIS135;CABLE DE GASOLINA DISCOVERI, PUL 135;0.00 ;10.0000 ;SURJA
CABGAS-DISC135-HIB;CABLE DE GAS DISCOVERI 135 HIB;0.00 ;14.0000 ;SURJA
CABGAS-EN125;CABLE DE GASOLINA  EN125/GNF;0.00 ;15.0000 ;SURJA
CABGAS-FREE;CABLE DE GASOLINA FREEDOM DY8;0.00 ;14.0000 ;SURJA
CABGAS-FT150;CABLE DE GASOLINA  FT150;0.00 ;13.0000 ;SURJA
CABGAS-GN125;CABLE DE GASOLINA PARA GN125;0.00 ;10.0000 ;SURJA
CABGAS-GNH-HIB;CABLE DE GAS GN125H HIB;0.00 ;15.0000 ;SURJA
CABGAS-GTK;CABLE DE GASOLINA GTK 125;0.00 ;16.0000 ;SURJA
CABGAS-GY6125;CABLE DE GASOLINA GY6-125 CORTO;0.00 ;20.0000 ;SURJA
CABGAS-GY6150;CABLE DE GASOLINA GY6-150 LARGO;0.00 ;20.0000 ;SURJA
CABGAS-HAY;CABLE DE GASOLINA  HAYATE;0.00 ;17.0000 ;SURJA
CABGAS-INV;CABLE DE GASOLINA  INVICTA150, CBF150;0.00 ;15.0000 ;SURJA
CABGAS-INVIC-HIB;CABLE DE GAS HON. CBF150 INVICTA HIB;0.00 ;14.0000 ;SURJA
CABGAS-NAVI;CABLE DE GASOLINA NAVI;0.00 ;22.0000 ;SURJA
CABGAS-PUL135;CABLE DE GASOLINA PULSAR 135;0.00 ;16.0000 ;SURJA
CABGAS-PUL180;CABLE DE GASOLINA PULSAR 180 UG-4;0.00 ;16.0000 ;SURJA
CABGAS-STROM-HIB;CABLE DE GAS HON. STROM 125 HIB;0.00 ;13.0000 ;SURJA
CABGAS-STUN;CABLE DE GASOLINA  STUNNER;0.00 ;15.0000 ;SURJA
CABGAS-XR150L;CABLE DE GASOLINA XR150L,BROSS,DAKAR;0.00 ;15.0000 ;SURJA
CABGAS-XR150L-HIB;CABLE GAS XR150L XR125L HIB;0.00 ;17.0000 ;SURJA
CABGAS-XR250TOR-HIB;CABLE DE GAS HON. XR250 TORNADO;0.00 ;18.0000 ;SURJA
CABGAS-XTZ125;CABLE DE GASOLINA DE XTZ125;0.00 ;17.5000 ;SURJA
CABGAS-YBR;CABLE DE GASOLINA YBR;0.00 ;10.0000 ;SURJA
CABMXB330065;CABLE DE CLUTCH S/FORRO LISO;0.00 ;4.6000 ;SURJA
CAB-NGK;NO UTILIZAR ESTE CODIGO;0.00 ;95.0000 ;SURJA
CAB-PAS 1200;JUEGO DE CABLES PASA CORRIENTE DE 1200AMP;0.00 ;0.0000 ;SURJA
CAB-PAS 2000;JUEGO DE CABLES PASA CORRIENTE DE 2000AMP;5.00 ;150.0000 ;SURJA
CAB-PAS 300;JUEGO DE CABLES PASACORRIENTE DE 300AMP;0.00 ;63.0000 ;SURJA
CAB-PAS 3000;JUEGO DE CABLES PASA CORRIENTE DE 3000AMP;5.00 ;180.0000 ;SURJA
CAB-PAS 400;JUEGO DE CABLES PASACORRIENTE DE 400AMP;2.00 ;83.0000 ;SURJA
CAB-PAS 500;JUEGO DE CABLES PASACORRIENTE DE 500AMP;3.00 ;108.0000 ;SURJA
CAB-PAS 600;JUEGO DE CABLES PASACORRIENTE DE 600AMP;0.00 ;95.0000 ;SURJA
CAB-POSBAT;CABLE POSITIVO PARA BATERIA MOTO;0.00 ;9.0000 ;SURJA
CAB-PUEN;CABLE PARA PUENTE ARMADO 10pul 100% COBRE NEGRO;0.00 ;46.0000 ;SURJA
CABTAC-GN125;CABLE TACOMETRO GN;0.00 ;17.0000 ;SURJA
CABTAC-GNF-125;CABLE TACOMETRO GNF-125 EN;0.00 ;10.0000 ;SURJA
CAD-428-136;CADENA DE TRACCION 428*136 DE MOTO H-REFORZADA;0.00 ;50.0000 ;SURJA
CAD-428H-124L;CADENA TRACCION  428H*124L;0.00 ;50.0000 ;SURJA
CADID-428H-134L;CADENA TRACCION  428H*134L DID;0.00 ;70.0000 ;SURJA
CADTIEM-EN;CADENA DE TIEMPO PARA EN 2*3*100L;0.00 ;55.0000 ;SURJA
CADTIEM-GN;CADENA DE TIEMPO GN,PULSAR 180,FIRE150,MAX150;0.00 ;35.0000 ;SURJA
CADTIEM-GY6;CADENA DE TIEMPO GY6;0.00 ;34.0000 ;SURJA
CADTIEM-SEMI;CADENA DE TIEMPO PARA SEMIAUTOMATICA;0.00 ;25.0000 ;SURJA
CADTIEM-XL200;CADENA DE TIEMPO PA XL200 2*3*102L;0.00 ;45.0000 ;SURJA
CADTIEM-XR;CADENA DE TIEMPO PARA XR AN VIVIO 2*3*94L;0.00 ;55.0000 ;SURJA
CADTIM-AN125;CADENA DE TIEMPO AN-125,VIVIO  XR  VIVIO 2*3*94L D.I.D;0.00 ;40.0000 ;SURJA
CADTIM-GN;CADENA DE TIEMPO GN 125,PULSAR 180, DAKAR150;0.00 ;39.0000 ;SURJA
